Date,Sampling event,Pasture,Treat,Exclosure,Rep,F1T Crown Tillers,F2T Crown Tillers,F3T Crown Tillers,F1S Stolon Tillers,F2S Stolon Tillers,Total Stolon #,Total Tiller #,Total Length of stolon (cm),F1T CW Bud/core (0.007805m^2),F2T CW Bud/core (0.007805m^2),F3T CW Bud/core (0.007805m^2),Tot CW Buds/core (0.00785 cm^2),F1T ST Bud/core (0.007805m^2),F2T ST Bud/core (0.007805m^2),F3T ST Bud/core (0.007805m^2),Tot ST Buds (0.00785 cm^2),Grand total buds/core (0.00785 mc^2),F1T CW Bud/0.1m2,F2T CW Bud/0.1m2,F3T CW Bud/ (0.1m2),Tot CW Buds/0.1m2,F1T ST Bud/0.1m2,F2T ST Bud/0.1m2,F3T ST Bud/0.1^2,Tot ST Buds/0.1 m2,Grand total buds/0.1 m2,%CWB,%STB,%F1CWB,%F2CWB,%F3CWB,%F1STB,%F2STB,%combF1B,%comF2B,%comF3B,#F1CWT/0.1m2,#F2CWT/0.1m2,#F3CWT/0.1m2,# Tot CWT/0.1m2,#F1STT/0.1m2,#F2STT/0.1m2,# Tot STT/0.1m2,TotTIller/0.1m2,% of CWT,%of STT,%F1CWT,%F2CWT,%F3CWT,%F1STT,%F2STT,%combF1T,%comF2T,%comF3T,# Tot ST/0.1m2,totSTlg cm/0.1m2
 June 13,1,3,CG,1,1,41,0,,1,,1,42,4.9,184.5,,,184.5,0,,,0,184.5,2350.32,0,0,2350.32,0,0,,0,2350.32,100,0,100,0,0,,,100,0,0,522.29,0,0,522.29,12.74,0,12.74,535.03,97.62,2.38,100,0,0,100,0,100,0,0,12.74,62.42
 June 13,1,3,CG,2,2,31,8,,,,2,39,5.6,108.5,0,,108.5,,,,0,108.5,1382.17,0,0,1382.17,0,0,,0,1382.17,100,0,100,0,0,,,100,0,0,394.9,101.91,0,496.82,0,0,0,496.82,100,0,79.49,20.51,0,,,79.49,20.51,0,25.48,71.34
 June 13,1,3,CG,3,3,33,10,,,,0,43,0,115.5,5,,120.5,,,,0,120.5,1471.34,63.69,0,1535.03,0,0,,0,1535.03,100,0,95.85,4.15,0,,,95.85,4.15,0,420.38,127.39,0,547.77,0,0,0,547.77,100,0,76.74,23.26,0,,,76.74,23.26,0,0,0
 June 13,1,3,CG,4,4,42,9,,,,0,51,0,105,0,,105,,,,0,105,1337.58,0,0,1337.58,0,0,,0,1337.58,100,0,100,0,0,,,100,0,0,535.03,114.65,0,649.68,0,0,0,649.68,100,0,82.35,17.65,0,,,82.35,17.65,0,0,0
 June 13,1,3,CG,5,5,26,3,,,,0,29,0,39,0,,39,,,,0,39,496.82,0,0,496.82,0,0,,0,496.82,100,0,100,0,0,,,100,0,0,331.21,38.22,0,369.43,0,0,0,369.43,100,0,89.66,10.34,0,,,89.66,10.34,0,0,0
 June 13,1,5,CG,1,1,62,8,,,,0,70,0,93,0,,93,,,,0,93,1184.71,0,0,1184.71,0,0,,0,1184.71,100,0,100,0,0,,,100,0,0,789.81,101.91,0,891.72,0,0,0,891.72,100,0,88.57,11.43,0,,,88.57,11.43,0,0,0
 June 13,1,5,CG,2,2,33,8,,7,2,0,50,0,66,8,,74,3.5,1,,4.5,78.5,840.76,101.91,0,942.68,44.59,1.27,,45.86,988.54,95.36,4.64,89.19,10.81,0,97.22,2.78,89.56,10.44,0,420.38,101.91,0,522.29,89.17,25.48,114.65,636.94,82,18,80.49,19.51,0,77.78,22.22,80,20,0,0,0
 June 13,1,5,CG,3,3,11,0,,3,,2,14,16.1,11,,,11,3,,,3,14,140.13,0,0,140.13,38.22,0,,38.22,178.34,78.57,21.43,100,0,0,100,0,100,0,0,140.13,0,0,140.13,38.22,0,38.22,178.34,78.57,21.43,100,0,0,100,0,100,0,0,25.48,205.1
 June 13,1,5,CG,4,4,56,8,,,,0,64,0,56,4,,60,,,,0,60,713.38,50.96,0,764.33,0,0,,0,764.33,100,0,93.33,6.67,0,,,93.33,6.67,0,713.38,101.91,0,815.29,0,0,0,815.29,100,0,87.5,12.5,0,,,87.5,12.5,0,0,0
 June 13,1,5,CG,5,5,51,4,,0,,4,55,21.6,76.5,6,,82.5,,,,0,82.5,974.52,76.43,0,1050.96,0,0,,0,1050.96,100,0,92.73,7.27,0,,,92.73,7.27,0,649.68,50.96,0,700.64,0,0,0,700.64,100,0,92.73,7.27,0,,,92.73,7.27,0,50.96,275.16
